race,date,address,city,state,zipcode,cause of death
Pacific Islander,6/23/2020,1900 Pebblebrook Lane,Sherman,TX,75092.0,Gunshot
Hispanic,6/23/2020,Mesa Avenue and Bragdon Avenue,Pueblo,CO,81004.0,Gunshot
Unknown race,6/23/2020,Blind Nick Drive,Wasilla,AK,99654.0,Gunshot
Black,6/22/2020,W Independence St & N Waco St,Giddings,TX,78942.0,Gunshot
Unknown race,6/22/2020,East 35th Place and Sable Boulevard,Aurora,CO,80011.0,Gunshot
Unknown race,6/22/2020,628 W Craig Rd,North Las Vegas,NV,89032.0,Gunshot
Unknown race,6/22/2020,41945 Boardwalk,Palm Desert,CA,92211.0,Gunshot
Unknown race,6/21/2020,130 North Temple Drive ,Milpitas,CA,95035.0,"Gunshot, Taser"
Hispanic,6/20/2020,1067 Highland Street,Lake Charles,LA,70605.0,Gunshot
White,6/19/2020,6022 Boyd Road,Sodus,NY,14551.0,Gunshot
Native American,6/19/2020,200 South Hampton,Jay,OK,74346.0,Gunshot
Hispanic,6/18/2020,400 Redondo Beach Boulevard,Gardena,CA,90248.0,Gunshot
White,6/18/2020,733 Cook Avenue,Billings,MT,59101.0,Gunshot
White,6/18/2020,6900 Stuart Street,Westminster,CO,80030.0,Gunshot
White,6/18/2020,Saddleview Ct,Maiden,NC,28650.0,Gunshot
Black,6/17/2020,3400 15th Street,Rosamond,CA,93560.0,Gunshot
Unknown race,6/17/2020,I-80,Lovelock,NV,89419.0,"Gunshot, Taser"
White,6/17/2020,300 South Main Street,Kennard,IN,47384.0,Gunshot
Asian,6/17/2020,Ka Hanahou Circle,Kaneohe,HI,96744.0,Physical Restraint
Black,6/16/2020,38500 North Green Bay Road,Beach Park,IL,60099.0,Gunshot
Black,6/16/2020,2225 W Indian School Rd,Phoenix,AZ,85015.0,Gunshot
White,6/15/2020,Massachusetts Street and W 19th Street,Lawrence,KS,66046.0,Gunshot
White,6/13/2020,E 23rd St & Lister Ave,Kansas City,MO,64127.0,Gunshot
